"","del=0","del=0.01","del=0.02","del=0.03","del=0.04","del=0.05","del=0.06","del=0.07","del=0.08","del=0.09","del=0.1","del=0.11","del=0.12","del=0.13","del=0.14","del=0.15","del=0.16","del=0.17","del=0.18","del=0.19","del=0.2","del=0.21","del=0.22","del=0.23","del=0.24","del=0.25","del=0.26","del=0.27","del=0.28","del=0.29","del=0.3","del=0.31","del=0.32","del=0.33","del=0.34","del=0.35","del=0.36","del=0.37","del=0.38","del=0.39","del=0.4","del=0.41","del=0.42","del=0.43","del=0.44","del=0.45","del=0.46","del=0.47","del=0.48","del=0.49","del=0.5"
"Dim 1",0.06,0.05,0.02,0.07,0.04,0.07,0.08,0.05,0.05,0.05,0.06,0.05,0.06,0.04,0.05,0.06,0.02,0.06,0.04,0.05,0.06,0.08,0.04,0.03,0.09,0.07,0.02,0.05,0.07,0.03,0.1,0.05,0.04,0.06,0.04,0.05,0.05,0.07,0.07,0,0,0.05,0.06,0.03,0.06,0.08,0.01,0.03,0.01,0.02,0.07
"Dim 2",0.04,0.04,0.05,0.05,0.07,0.03,0.07,0.06,0.1,0.07,0.05,0.03,0.04,0.03,0.06,0.04,0.05,0.07,0.08,0.05,0.06,0.06,0.05,0.01,0.02,0.04,0.11,0.05,0.06,0.05,0.05,0.07,0.05,0.03,0.02,0.02,0.03,0.09,0.06,0.03,0.03,0.01,0.04,0.02,0.03,0.05,0.08,0.05,0.05,0.08,0.06
"Dim 3",0.03,0.05,0.09,0.07,0.06,0.04,0.08,0.05,0.04,0.04,0.06,0.04,0.06,0.04,0.11,0.05,0.03,0.11,0.07,0.01,0.05,0.05,0.07,0.05,0.08,0.08,0.03,0.05,0.09,0.06,0.04,0.02,0.04,0.07,0.04,0.06,0.07,0.05,0.06,0.06,0.04,0.08,0.09,0.07,0.06,0.07,0.05,0.06,0.04,0.05,0.04
"Dim 4",0.06,0.04,0.09,0.07,0.05,0.04,0.06,0.04,0.07,0.05,0.06,0.02,0.05,0.07,0.04,0.06,0.11,0.1,0.06,0.07,0.04,0.1,0.07,0.06,0.08,0.07,0.06,0.1,0.02,0.07,0.07,0.09,0.1,0.09,0.09,0.04,0.07,0.12,0.05,0.06,0.05,0.09,0.1,0.06,0.03,0.12,0.11,0.07,0.15,0.09,0.12
"Dim 5",0.03,0.02,0.03,0.06,0.04,0.03,0.03,0.05,0.05,0.05,0.07,0.11,0.09,0.05,0.09,0.09,0.11,0.06,0.16,0.08,0.08,0.13,0.11,0.09,0.11,0.08,0.1,0.15,0.07,0.08,0.11,0.11,0.15,0.1,0.12,0.1,0.07,0.11,0.16,0.14,0.17,0.13,0.16,0.09,0.09,0.1,0.17,0.15,0.14,0.17,0.09
"Dim 6",0.04,0.07,0.04,0.02,0.02,0.08,0.07,0.04,0.07,0.09,0.07,0.11,0.07,0.1,0.06,0.08,0.1,0.08,0.1,0.12,0.04,0.16,0.08,0.19,0.09,0.12,0.11,0.09,0.15,0.1,0.14,0.1,0.15,0.15,0.09,0.18,0.19,0.14,0.17,0.2,0.21,0.15,0.21,0.17,0.21,0.2,0.2,0.26,0.15,0.23,0.19
"Dim 7",0.02,0.05,0.03,0.04,0.04,0.07,0.05,0.08,0.07,0.09,0.11,0.1,0.1,0.05,0.1,0.12,0.09,0.15,0.12,0.13,0.19,0.24,0.1,0.15,0.14,0.11,0.18,0.16,0.18,0.19,0.11,0.2,0.25,0.18,0.25,0.22,0.2,0.18,0.24,0.24,0.29,0.34,0.21,0.22,0.31,0.29,0.19,0.31,0.32,0.31,0.26
"Dim 8",0.04,0.05,0.08,0.04,0.07,0.06,0.06,0.12,0.04,0.1,0.09,0.1,0.14,0.12,0.13,0.11,0.13,0.16,0.2,0.14,0.16,0.19,0.23,0.13,0.2,0.26,0.23,0.17,0.21,0.31,0.23,0.28,0.23,0.24,0.23,0.27,0.32,0.3,0.25,0.4,0.26,0.31,0.28,0.37,0.38,0.33,0.38,0.32,0.41,0.47,0.4
"Dim 9",0.02,0.05,0.04,0.05,0.05,0.12,0.09,0.07,0.03,0.05,0.09,0.12,0.08,0.12,0.14,0.11,0.12,0.17,0.18,0.24,0.16,0.2,0.2,0.16,0.13,0.17,0.15,0.23,0.25,0.34,0.3,0.26,0.44,0.31,0.3,0.32,0.35,0.4,0.38,0.36,0.33,0.38,0.42,0.41,0.33,0.43,0.48,0.53,0.41,0.38,0.41
"Dim 10",0.07,0.05,0.03,0.07,0.09,0.11,0.03,0.09,0.1,0.1,0.12,0.12,0.11,0.11,0.1,0.2,0.17,0.13,0.22,0.13,0.23,0.23,0.18,0.26,0.28,0.23,0.24,0.28,0.31,0.34,0.32,0.43,0.29,0.46,0.43,0.39,0.5,0.45,0.5,0.47,0.44,0.4,0.51,0.49,0.55,0.55,0.5,0.5,0.49,0.6,0.58
