"","del=0","del=0.02","del=0.04","del=0.06","del=0.08","del=0.1","del=0.12","del=0.14","del=0.16","del=0.18","del=0.2","del=0.22","del=0.24","del=0.26","del=0.28","del=0.3","del=0.32","del=0.34","del=0.36","del=0.38","del=0.4","del=0.42","del=0.44","del=0.46","del=0.48","del=0.5"
"Dim 1",0.08,0.06,0.04,0.09,0.06,0.12,0.06,0.07,0.06,0.1,0.04,0.09,0.12,0.09,0.07,0.08,0.12,0.12,0.09,0.13,0.2,0.15,0.24,0.24,0.16,0.28
"Dim 2",0.04,0.07,0.01,0,0.04,0.05,0.04,0.06,0.11,0.07,0.15,0.12,0.08,0.12,0.12,0.19,0.16,0.2,0.18,0.25,0.25,0.26,0.39,0.43,0.37,0.41
"Dim 3",0.03,0.03,0.07,0.06,0.08,0.03,0.06,0.09,0.13,0.14,0.07,0.19,0.11,0.12,0.14,0.12,0.31,0.23,0.29,0.27,0.38,0.43,0.42,0.55,0.56,0.52
"Dim 4",0.06,0.08,0.06,0.06,0.07,0.1,0.04,0.08,0.06,0.1,0.1,0.15,0.1,0.19,0.2,0.17,0.23,0.29,0.29,0.52,0.35,0.45,0.53,0.69,0.73,0.62
"Dim 5",0.01,0.05,0.04,0.07,0.07,0.08,0.08,0.06,0.11,0.12,0.18,0.14,0.21,0.24,0.23,0.26,0.36,0.35,0.42,0.43,0.47,0.68,0.64,0.76,0.75,0.8
"Dim 6",0.08,0,0.08,0.07,0.08,0.07,0.07,0.08,0.17,0.14,0.15,0.14,0.2,0.23,0.28,0.37,0.32,0.42,0.57,0.56,0.59,0.61,0.7,0.79,0.82,0.85
"Dim 7",0.08,0.07,0.04,0.04,0.05,0.11,0.06,0.15,0.09,0.17,0.12,0.13,0.23,0.29,0.3,0.35,0.45,0.52,0.45,0.51,0.55,0.67,0.84,0.87,0.88,0.94
"Dim 8",0.03,0.04,0.04,0.05,0.05,0.05,0.13,0.08,0.1,0.11,0.14,0.17,0.24,0.3,0.38,0.34,0.43,0.42,0.59,0.61,0.6,0.76,0.87,0.89,0.87,0.92
"Dim 9",0.05,0.07,0.03,0.08,0.07,0.05,0.11,0.1,0.08,0.12,0.16,0.22,0.28,0.23,0.38,0.35,0.49,0.52,0.62,0.63,0.78,0.79,0.87,0.86,0.92,0.91
"Dim 10",0.07,0.06,0.05,0.06,0.08,0.08,0.08,0.09,0.19,0.08,0.24,0.22,0.19,0.35,0.3,0.46,0.59,0.53,0.69,0.66,0.86,0.78,0.86,0.93,0.95,0.95
"Dim 11",0.04,0.07,0.06,0.04,0.11,0.09,0.06,0.07,0.11,0.11,0.21,0.18,0.3,0.35,0.39,0.49,0.48,0.64,0.73,0.79,0.79,0.85,0.91,0.91,0.97,0.96
"Dim 12",0.03,0.06,0.06,0.09,0.06,0.06,0.06,0.12,0.13,0.16,0.23,0.25,0.36,0.36,0.34,0.59,0.54,0.63,0.78,0.75,0.86,0.89,0.93,0.96,0.96,0.95
"Dim 13",0.04,0.07,0.05,0.06,0.06,0.03,0.08,0.11,0.21,0.11,0.21,0.28,0.32,0.29,0.35,0.55,0.6,0.63,0.66,0.81,0.85,0.9,0.91,0.95,0.97,0.96
"Dim 14",0.02,0.05,0.05,0.03,0.04,0.03,0.06,0.06,0.08,0.17,0.17,0.23,0.3,0.4,0.4,0.55,0.62,0.78,0.75,0.82,0.85,0.91,0.92,0.97,0.98,0.99
"Dim 15",0.04,0.02,0.09,0.04,0.05,0.06,0.07,0.09,0.11,0.21,0.28,0.3,0.3,0.47,0.38,0.45,0.66,0.6,0.8,0.84,0.9,0.96,0.96,0.94,1,1
"Dim 16",0.03,0.05,0.08,0.09,0.06,0.1,0.07,0.13,0.18,0.14,0.2,0.28,0.35,0.41,0.53,0.51,0.59,0.68,0.79,0.84,0.89,0.9,0.99,0.96,0.99,1
"Dim 17",0.06,0.02,0.05,0.08,0.04,0.11,0.12,0.1,0.14,0.17,0.23,0.37,0.36,0.42,0.45,0.54,0.58,0.75,0.76,0.83,0.89,0.88,0.95,1,1,0.99
"Dim 18",0.03,0.06,0.03,0.04,0.1,0.08,0.12,0.15,0.17,0.23,0.2,0.35,0.3,0.39,0.59,0.57,0.75,0.82,0.84,0.91,0.93,0.97,0.94,0.95,1,1
"Dim 19",0.04,0.02,0.02,0.08,0.05,0.08,0.1,0.1,0.19,0.16,0.23,0.21,0.32,0.53,0.56,0.69,0.7,0.75,0.84,0.92,0.88,0.97,0.95,0.97,0.99,1
"Dim 20",0.02,0.07,0.1,0.07,0.04,0.01,0.11,0.12,0.15,0.25,0.26,0.39,0.37,0.47,0.53,0.59,0.71,0.75,0.84,0.82,0.95,0.92,0.94,0.99,0.99,1
