"","del=0","del=0.01","del=0.02","del=0.03","del=0.04","del=0.05","del=0.06","del=0.07","del=0.08","del=0.09","del=0.1","del=0.11","del=0.12","del=0.13","del=0.14","del=0.15","del=0.16","del=0.17","del=0.18","del=0.19","del=0.2","del=0.21","del=0.22","del=0.23","del=0.24","del=0.25","del=0.26","del=0.27","del=0.28","del=0.29","del=0.3","del=0.31","del=0.32","del=0.33","del=0.34","del=0.35","del=0.36","del=0.37","del=0.38","del=0.39","del=0.4","del=0.41","del=0.42","del=0.43","del=0.44","del=0.45","del=0.46","del=0.47","del=0.48","del=0.49","del=0.5","del=0.51","del=0.52","del=0.53","del=0.54","del=0.55","del=0.56","del=0.57","del=0.58","del=0.59","del=0.6","del=0.61","del=0.62","del=0.63","del=0.64","del=0.65","del=0.66","del=0.67","del=0.68","del=0.69","del=0.7","del=0.71","del=0.72","del=0.73","del=0.74","del=0.75","del=0.76","del=0.77","del=0.78","del=0.79","del=0.8","del=0.81","del=0.82","del=0.83","del=0.84","del=0.85","del=0.86","del=0.87","del=0.88","del=0.89","del=0.9","del=0.91","del=0.92","del=0.93","del=0.94","del=0.95","del=0.96","del=0.97","del=0.98","del=0.99","del=1","del=1.01","del=1.02","del=1.03","del=1.04","del=1.05","del=1.06","del=1.07","del=1.08","del=1.09","del=1.1","del=1.11","del=1.12","del=1.13","del=1.14","del=1.15","del=1.16","del=1.17","del=1.18","del=1.19","del=1.2","del=1.21","del=1.22","del=1.23","del=1.24","del=1.25","del=1.26","del=1.27","del=1.28","del=1.29","del=1.3"
"Dim 1",0.08,0.05,0.07,0.05,0.07,0.05,0.06,0.03,0.06,0.05,0.04,0.05,0.03,0.03,0.01,0.05,0.05,0.04,0.04,0.05,0.08,0.03,0.06,0.04,0.08,0.09,0.05,0.06,0.03,0.02,0.04,0.01,0.08,0.05,0.07,0.02,0.01,0.03,0.02,0.02,0.04,0.01,0.07,0.03,0.05,0.01,0.09,0.02,0.02,0.04,0.04,0.02,0.01,0.02,0.03,0.03,0.03,0.03,0,0.07,0.01,0.05,0.01,0.04,0.01,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.06,0.01,0.03,0.03,0.02,0.03,0.01,0,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0.02,0.02,0,0.03,0.01,0.03,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"Dim 2",0.07,0.08,0.06,0.02,0.04,0.05,0.03,0.05,0.09,0.08,0.08,0.04,0.02,0.07,0.05,0.04,0.05,0.03,0.1,0.07,0.06,0.03,0.04,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.06,0.07,0.07,0.07,0.01,0.06,0.02,0.05,0.06,0.03,0.06,0.08,0.02,0.02,0.06,0.05,0.04,0.07,0.06,0.05,0.01,0.04,0.06,0.05,0.07,0.03,0.01,0.04,0.03,0.06,0.04,0.05,0.04,0.07,0.05,0.05,0.03,0.05,0.02,0.02,0.05,0.01,0.02,0.06,0.02,0.04,0.02,0.06,0.07,0.04,0.01,0.02,0.02,0.05,0.05,0.07,0.03,0.04,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.05,0.04,0.01,0.08,0.02,0.02,0.02,0.06,0.06,0.02,0.04,0.07,0.05,0.06,0.01,0.03,0.01,0.03,0.01,0.01,0.04,0.01,0.04,0.02,0.02,0.03,0.04,0.03,0.02,0.03,0.02,0,0.02
"Dim 3",0.08,0.07,0.01,0.02,0.05,0.06,0.04,0.01,0,0.1,0.03,0.04,0.04,0.05,0.04,0.07,0.05,0.09,0.06,0.04,0.03,0.07,0.03,0.04,0.04,0.07,0.06,0.03,0.02,0.02,0.03,0.02,0.09,0.03,0.06,0.09,0.04,0.05,0.03,0.08,0.01,0.01,0.04,0.04,0.04,0.04,0.03,0.07,0.03,0.06,0.11,0.08,0.03,0.01,0.07,0.05,0.01,0.02,0.08,0.04,0.05,0.1,0.05,0.04,0.03,0.01,0.02,0.03,0.01,0.03,0.03,0.04,0.03,0.04,0.04,0.01,0.04,0.04,0.05,0.01,0.05,0.04,0.01,0.04,0.05,0.03,0.02,0,0.06,0.03,0.04,0.06,0.03,0.05,0.03,0.02,0.05,0.04,0.05,0,0.03,0.04,0.02,0.03,0,0.07,0.02,0.02,0,0.03,0.05,0.03,0.02,0.03,0.02,0.04,0.01,0.03,0,0.02,0.02,0.02,0.07,0.07,0.04,0.02,0.02,0.04,0.03,0.06,0.01
"Dim 4",0.05,0.07,0.03,0.03,0.05,0.06,0.09,0.04,0.06,0.03,0.09,0.04,0.06,0.1,0.03,0.04,0.08,0.09,0.05,0.05,0.04,0.03,0.08,0.03,0.09,0.07,0.05,0.05,0.03,0.05,0.07,0.05,0.05,0.05,0.03,0.05,0.08,0.09,0.1,0.08,0.02,0.02,0.08,0.06,0.06,0.03,0.04,0.01,0.09,0.05,0.04,0.08,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.01,0.08,0.06,0.05,0.04,0.05,0.05,0.03,0.04,0.04,0.05,0.02,0.07,0.06,0.03,0.04,0.01,0.05,0.02,0.09,0.05,0.03,0.05,0.05,0.05,0.06,0.03,0.04,0.04,0.04,0.05,0.03,0.04,0.07,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.01,0.04,0.03,0.02,0.01,0.07,0.05,0.06,0.05,0.06,0.04,0.04,0.03,0.06,0.03,0.05,0.03,0.05,0.03,0.03,0.01,0.03,0.05,0.07,0.05,0.03,0.01,0.04,0.02,0.03,0.03
"Dim 5",0.05,0.03,0.07,0.03,0.05,0.07,0.05,0.07,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.02,0.02,0.04,0.03,0.1,0.06,0.07,0.06,0.04,0.04,0.07,0.07,0.04,0.05,0.07,0.02,0.08,0.06,0.05,0.05,0.04,0.06,0.03,0.02,0.05,0.01,0.04,0.03,0.08,0.04,0.02,0.06,0.09,0.08,0.06,0.05,0.05,0.05,0.02,0.04,0.1,0.04,0.02,0.04,0.02,0.02,0.05,0.07,0.07,0.02,0.06,0.05,0.05,0.03,0.04,0.05,0.01,0.03,0.05,0.05,0.03,0.08,0.05,0.03,0.05,0.04,0.02,0.03,0.04,0.01,0.03,0.06,0.03,0.06,0.07,0.04,0.05,0.06,0.05,0.06,0.03,0.04,0.03,0.03,0.03,0.05,0.03,0.02,0,0.07,0.04,0.03,0.03,0.06,0.05,0.05,0.08,0.05,0.02,0.02,0.04,0.04,0.01,0.03,0.01,0,0.04,0.05,0.03,0.01,0.04,0.01,0.08,0.05,0.05
"Dim 6",0.01,0.05,0.07,0.03,0.03,0.01,0.06,0.04,0.05,0.05,0.01,0.03,0.05,0.06,0.02,0.06,0.08,0.02,0.03,0.01,0.09,0.03,0.05,0.04,0.06,0.03,0.05,0.05,0.01,0.07,0.02,0.01,0.05,0.07,0.04,0.05,0.04,0.05,0.07,0.05,0.03,0.08,0.03,0.04,0.04,0.06,0.03,0.04,0.04,0.03,0.08,0.06,0.07,0.05,0.05,0.05,0.04,0.07,0.02,0.01,0.06,0.02,0.05,0.06,0.04,0.08,0.04,0.03,0.03,0.05,0.03,0.01,0.03,0.03,0.07,0.05,0.04,0.05,0.07,0.02,0.04,0.07,0.05,0.05,0.03,0.05,0.06,0.03,0.03,0.04,0.04,0.02,0.05,0.03,0.04,0.05,0.02,0.04,0.05,0.02,0.06,0.05,0.02,0.02,0.05,0.02,0.02,0.04,0.03,0.01,0.02,0.04,0.03,0.03,0.04,0.05,0.03,0.06,0.01,0.02,0.04,0.04,0.01,0.04,0.02,0.07,0.03,0.03,0.06,0.08,0.04
"Dim 7",0.06,0.02,0.04,0.03,0.06,0.1,0.04,0.07,0.09,0.05,0.08,0.02,0.01,0.06,0.07,0.03,0.05,0.03,0.05,0.04,0.03,0.05,0.03,0.04,0.05,0.04,0.06,0.04,0.04,0.02,0.04,0.02,0.04,0.05,0.02,0.03,0.01,0.04,0.05,0.03,0.02,0.06,0.13,0.01,0.03,0.03,0.02,0.07,0.05,0.02,0.04,0.02,0.05,0.05,0.03,0.05,0.05,0.05,0.02,0.04,0.04,0.02,0.03,0.05,0.09,0.04,0.07,0.07,0.08,0.03,0.04,0.06,0.07,0.07,0.05,0.04,0.08,0.04,0.05,0.02,0.03,0.09,0.03,0.01,0.04,0.04,0.08,0.01,0.03,0.05,0.04,0.04,0.02,0,0.06,0.06,0.02,0,0.06,0.04,0.06,0.01,0.02,0.05,0.05,0.04,0.04,0.02,0.07,0.02,0.01,0.03,0.03,0.06,0.06,0.03,0.06,0.03,0.05,0.03,0.01,0.03,0.08,0.02,0.01,0.04,0.01,0.03,0.02,0.06,0.03
"Dim 8",0.04,0.04,0.05,0.05,0.08,0.07,0.05,0.03,0.04,0.08,0.03,0.07,0.07,0.04,0.06,0.03,0.06,0.07,0.05,0.01,0.05,0.05,0.05,0.06,0.02,0.07,0.1,0.07,0.06,0.04,0.04,0.04,0.04,0.05,0.03,0.07,0.06,0.08,0.03,0.07,0.07,0.02,0.02,0.04,0.03,0.06,0.06,0.03,0.06,0.07,0.09,0.06,0.07,0.04,0.02,0.03,0.02,0.07,0.03,0.06,0.05,0.03,0.02,0.02,0.06,0.01,0.06,0.04,0.05,0.04,0.06,0.05,0.06,0.06,0.04,0.04,0.05,0.02,0.03,0.01,0.09,0.05,0.04,0.04,0.06,0.05,0.06,0.04,0.05,0.07,0.02,0.05,0.03,0.06,0.1,0.06,0.07,0.03,0.08,0.02,0.05,0.01,0.03,0.02,0.04,0.02,0.01,0.01,0.08,0.05,0.03,0.03,0.03,0.08,0.05,0.02,0.04,0.03,0.04,0.03,0.05,0.03,0.03,0.05,0.05,0.06,0.07,0.04,0.03,0.04,0.03
"Dim 9",0.04,0.06,0.06,0.06,0.05,0.1,0.05,0.03,0.05,0.05,0.05,0.05,0.02,0.06,0.08,0.09,0.07,0.03,0.03,0.05,0.05,0.04,0.08,0.04,0.04,0.06,0.03,0.05,0.04,0.02,0.05,0.08,0.05,0.01,0.09,0.07,0.05,0.07,0.07,0.07,0.06,0.03,0.07,0.08,0.06,0.07,0.08,0.03,0.07,0.05,0.01,0.06,0.08,0.07,0.01,0.08,0.05,0.04,0.07,0.02,0.02,0.05,0.07,0.03,0.04,0.05,0.08,0.1,0.04,0.03,0.05,0.05,0.03,0.03,0.05,0.05,0.02,0.06,0.08,0.07,0.03,0.04,0,0.03,0.02,0.04,0.03,0.03,0.04,0.04,0.05,0.06,0.02,0.04,0.04,0.01,0.02,0.04,0.04,0.04,0.04,0.01,0.02,0.01,0.07,0.04,0.02,0.02,0.03,0.02,0.03,0.06,0.04,0.05,0.04,0.07,0.03,0.07,0.02,0.03,0.04,0.03,0.05,0.04,0.06,0.09,0.04,0.04,0,0.06,0.02
"Dim 10",0.03,0.05,0.03,0.05,0.05,0.04,0.04,0.07,0.08,0.09,0.06,0.05,0.06,0.01,0.04,0.08,0.05,0.03,0.05,0.03,0.09,0.05,0.06,0.02,0.03,0.02,0.05,0.06,0.06,0.03,0.04,0.09,0.08,0.02,0.04,0.06,0.05,0.08,0.06,0.05,0.1,0.03,0.07,0.06,0.06,0.03,0.08,0.05,0.02,0.03,0.03,0.05,0.09,0.06,0.07,0.03,0.07,0.06,0.01,0.03,0.02,0.06,0.04,0.05,0.04,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.05,0.03,0.01,0.06,0.02,0.01,0.05,0.04,0.03,0.01,0.08,0.06,0.02,0.05,0.03,0.03,0.03,0.04,0.02,0.02,0.07,0.05,0.03,0.03,0.05,0.05,0.06,0.02,0.04,0.02,0.03,0.03,0.05,0.06,0.03,0.06,0.04,0.05,0.05,0.03,0.01,0.02,0.04,0.06,0.02,0.04,0.04,0.05,0.05,0.04,0.06,0.02,0,0.05,0.02,0.03,0.02,0.02,0.02
