"","del=0","del=0.01","del=0.02","del=0.03","del=0.04","del=0.05","del=0.06","del=0.07","del=0.08","del=0.09","del=0.1","del=0.11","del=0.12","del=0.13","del=0.14","del=0.15","del=0.16","del=0.17","del=0.18","del=0.19","del=0.2","del=0.21","del=0.22","del=0.23","del=0.24","del=0.25","del=0.26","del=0.27","del=0.28","del=0.29","del=0.3","del=0.31","del=0.32","del=0.33","del=0.34","del=0.35","del=0.36","del=0.37","del=0.38","del=0.39","del=0.4","del=0.41","del=0.42","del=0.43","del=0.44","del=0.45","del=0.46","del=0.47","del=0.48","del=0.49","del=0.5","del=0.51","del=0.52","del=0.53","del=0.54","del=0.55","del=0.56","del=0.57","del=0.58","del=0.59","del=0.6","del=0.61","del=0.62","del=0.63","del=0.64","del=0.65","del=0.66","del=0.67","del=0.68","del=0.69","del=0.7","del=0.71","del=0.72","del=0.73","del=0.74","del=0.75","del=0.76","del=0.77","del=0.78","del=0.79","del=0.8","del=0.81","del=0.82","del=0.83","del=0.84","del=0.85","del=0.86","del=0.87","del=0.88","del=0.89","del=0.9","del=0.91","del=0.92","del=0.93","del=0.94","del=0.95","del=0.96","del=0.97","del=0.98","del=0.99","del=1","del=1.01","del=1.02","del=1.03","del=1.04","del=1.05","del=1.06","del=1.07","del=1.08","del=1.09","del=1.1","del=1.11","del=1.12","del=1.13","del=1.14","del=1.15","del=1.16","del=1.17","del=1.18","del=1.19","del=1.2","del=1.21","del=1.22","del=1.23","del=1.24","del=1.25","del=1.26","del=1.27","del=1.28","del=1.29","del=1.3"
"Dim 1",0.059,0.051,0.054,0.051,0.047,0.067,0.074,0.066,0.073,0.089,0.091,0.097,0.117,0.122,0.124,0.151,0.148,0.166,0.183,0.2,0.222,0.229,0.274,0.302,0.3,0.36,0.369,0.379,0.406,0.443,0.478,0.494,0.52,0.571,0.54,0.588,0.617,0.654,0.676,0.68,0.732,0.737,0.747,0.766,0.817,0.807,0.836,0.85,0.865,0.899,0.907,0.899,0.923,0.924,0.943,0.938,0.957,0.966,0.968,0.973,0.976,0.981,0.983,0.984,0.983,0.985,0.987,0.991,0.992,0.996,0.995,0.996,0.997,0.999,0.998,0.999,1,0.999,1,0.999,0.999,1,1,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 2",0.067,0.045,0.045,0.059,0.057,0.056,0.055,0.075,0.065,0.067,0.077,0.065,0.088,0.094,0.1,0.098,0.145,0.128,0.123,0.155,0.15,0.169,0.182,0.185,0.224,0.231,0.281,0.276,0.304,0.319,0.352,0.337,0.366,0.418,0.437,0.42,0.5,0.478,0.529,0.531,0.584,0.583,0.606,0.629,0.663,0.67,0.692,0.74,0.762,0.766,0.786,0.785,0.814,0.838,0.846,0.864,0.88,0.908,0.885,0.939,0.916,0.927,0.932,0.937,0.947,0.955,0.961,0.975,0.977,0.98,0.983,0.984,0.989,0.988,0.985,0.995,0.995,0.995,0.994,1,0.999,0.996,1,1,0.999,0.997,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 3",0.056,0.056,0.061,0.061,0.059,0.07,0.058,0.056,0.071,0.056,0.067,0.074,0.095,0.083,0.082,0.107,0.099,0.116,0.139,0.134,0.15,0.155,0.147,0.183,0.18,0.194,0.21,0.219,0.233,0.25,0.274,0.283,0.3,0.307,0.345,0.359,0.36,0.421,0.444,0.417,0.448,0.483,0.522,0.544,0.545,0.585,0.583,0.625,0.658,0.646,0.702,0.687,0.712,0.759,0.753,0.78,0.79,0.81,0.832,0.843,0.853,0.877,0.886,0.91,0.917,0.909,0.941,0.945,0.951,0.965,0.956,0.965,0.961,0.977,0.975,0.986,0.991,0.983,0.985,0.99,0.99,0.992,0.997,0.993,0.995,0.996,0.994,0.999,0.997,0.999,1,0.998,0.998,1,1,0.999,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 4",0.058,0.059,0.066,0.059,0.073,0.072,0.056,0.057,0.076,0.073,0.066,0.081,0.079,0.078,0.094,0.094,0.103,0.115,0.129,0.142,0.124,0.109,0.141,0.169,0.148,0.171,0.159,0.182,0.203,0.207,0.22,0.237,0.24,0.254,0.283,0.318,0.305,0.317,0.373,0.35,0.385,0.41,0.417,0.445,0.503,0.468,0.493,0.526,0.539,0.579,0.591,0.617,0.652,0.676,0.718,0.687,0.705,0.74,0.758,0.774,0.782,0.8,0.813,0.85,0.848,0.861,0.868,0.88,0.91,0.913,0.917,0.938,0.934,0.937,0.949,0.958,0.964,0.97,0.981,0.977,0.981,0.982,0.984,0.988,0.985,0.989,0.992,0.994,0.994,0.996,0.998,0.997,0.992,0.998,1,0.997,0.996,0.999,1,0.999,1,1,1,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 5",0.06,0.057,0.072,0.08,0.078,0.079,0.076,0.064,0.082,0.062,0.079,0.072,0.077,0.084,0.087,0.074,0.095,0.109,0.114,0.095,0.108,0.119,0.122,0.128,0.141,0.152,0.169,0.177,0.173,0.199,0.206,0.205,0.206,0.236,0.227,0.234,0.253,0.264,0.329,0.324,0.329,0.376,0.38,0.405,0.404,0.412,0.466,0.484,0.495,0.509,0.521,0.555,0.558,0.616,0.588,0.638,0.655,0.663,0.705,0.686,0.738,0.726,0.784,0.774,0.804,0.788,0.804,0.83,0.857,0.865,0.859,0.877,0.923,0.899,0.896,0.917,0.926,0.939,0.948,0.951,0.955,0.943,0.975,0.963,0.971,0.976,0.981,0.986,0.981,0.988,0.986,0.991,0.994,0.992,0.991,0.998,0.998,0.994,0.999,0.998,0.998,0.999,1,1,1,1,0.999,0.999,1,1,0.999,1,1,0.999,1,1,1,1,0.999,1,1,1,1,0.999,1,1,1,1,1,1,1
"Dim 6",0.062,0.081,0.079,0.064,0.069,0.072,0.059,0.078,0.078,0.072,0.074,0.07,0.076,0.086,0.085,0.101,0.079,0.117,0.117,0.102,0.11,0.117,0.108,0.134,0.124,0.157,0.173,0.166,0.157,0.16,0.189,0.192,0.197,0.198,0.211,0.248,0.273,0.248,0.286,0.284,0.308,0.329,0.327,0.357,0.372,0.386,0.399,0.4,0.436,0.455,0.49,0.471,0.539,0.531,0.563,0.581,0.578,0.582,0.658,0.604,0.683,0.663,0.727,0.696,0.767,0.739,0.773,0.786,0.792,0.835,0.823,0.852,0.863,0.851,0.875,0.893,0.898,0.905,0.907,0.936,0.935,0.934,0.933,0.955,0.952,0.965,0.967,0.958,0.978,0.981,0.982,0.982,0.98,0.991,0.988,0.992,0.991,0.991,0.993,0.997,0.994,0.994,0.997,0.997,0.997,0.998,0.998,0.999,0.996,1,1,1,1,0.998,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 7",0.072,0.054,0.08,0.086,0.086,0.085,0.075,0.078,0.082,0.079,0.08,0.095,0.085,0.093,0.086,0.089,0.102,0.096,0.096,0.107,0.115,0.128,0.114,0.147,0.132,0.159,0.15,0.154,0.142,0.188,0.172,0.206,0.189,0.208,0.191,0.207,0.249,0.259,0.284,0.275,0.305,0.32,0.315,0.32,0.314,0.361,0.356,0.368,0.401,0.418,0.443,0.422,0.479,0.48,0.537,0.53,0.523,0.523,0.571,0.595,0.598,0.598,0.644,0.659,0.686,0.664,0.716,0.713,0.757,0.766,0.798,0.807,0.818,0.832,0.835,0.843,0.858,0.871,0.865,0.897,0.894,0.904,0.933,0.908,0.927,0.928,0.954,0.957,0.967,0.955,0.974,0.973,0.968,0.969,0.987,0.984,0.986,0.985,0.992,0.989,0.991,0.993,0.99,0.995,0.995,0.996,0.998,0.995,0.999,0.997,0.996,0.997,1,0.999,0.999,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1
"Dim 8",0.083,0.086,0.095,0.085,0.079,0.099,0.094,0.074,0.087,0.077,0.092,0.094,0.093,0.086,0.085,0.11,0.117,0.107,0.094,0.125,0.134,0.133,0.11,0.14,0.136,0.131,0.146,0.142,0.155,0.185,0.174,0.17,0.179,0.233,0.208,0.225,0.235,0.253,0.259,0.257,0.269,0.267,0.296,0.318,0.318,0.335,0.324,0.373,0.393,0.407,0.41,0.399,0.447,0.456,0.483,0.495,0.514,0.511,0.559,0.544,0.562,0.57,0.606,0.631,0.646,0.668,0.701,0.691,0.706,0.734,0.766,0.75,0.779,0.77,0.792,0.81,0.832,0.839,0.847,0.839,0.878,0.883,0.904,0.891,0.903,0.901,0.922,0.926,0.939,0.948,0.929,0.959,0.954,0.964,0.971,0.977,0.965,0.967,0.98,0.983,0.982,0.984,0.994,0.988,0.989,0.993,0.988,0.993,0.993,0.999,0.994,0.995,0.999,0.998,0.998,0.999,0.996,1,1,1,1,0.997,1,1,0.999,1,0.998,1,1,1,1
"Dim 9",0.088,0.098,0.082,0.093,0.092,0.102,0.095,0.095,0.097,0.107,0.106,0.092,0.111,0.097,0.126,0.103,0.086,0.112,0.109,0.122,0.14,0.141,0.134,0.132,0.165,0.156,0.16,0.154,0.163,0.172,0.175,0.169,0.212,0.212,0.213,0.225,0.243,0.214,0.246,0.257,0.288,0.29,0.285,0.284,0.312,0.303,0.33,0.339,0.351,0.382,0.425,0.396,0.408,0.432,0.437,0.461,0.499,0.498,0.521,0.519,0.546,0.544,0.568,0.565,0.603,0.633,0.636,0.633,0.671,0.689,0.692,0.741,0.757,0.743,0.77,0.8,0.813,0.795,0.798,0.819,0.811,0.859,0.871,0.867,0.875,0.907,0.896,0.902,0.903,0.929,0.934,0.934,0.935,0.944,0.965,0.959,0.951,0.959,0.966,0.965,0.973,0.978,0.98,0.981,0.976,0.988,0.988,0.988,0.996,0.994,0.995,0.995,0.994,0.994,0.995,0.998,1,0.999,0.996,1,0.998,0.999,0.998,0.998,0.999,0.998,1,0.999,1,0.999,1
"Dim 10",0.102,0.094,0.096,0.107,0.088,0.111,0.095,0.122,0.124,0.113,0.118,0.108,0.103,0.108,0.126,0.115,0.122,0.126,0.112,0.147,0.123,0.151,0.139,0.152,0.146,0.176,0.155,0.169,0.162,0.182,0.182,0.212,0.219,0.185,0.214,0.228,0.226,0.238,0.252,0.259,0.271,0.277,0.312,0.282,0.289,0.319,0.323,0.33,0.332,0.385,0.375,0.382,0.42,0.403,0.446,0.435,0.459,0.514,0.485,0.5,0.512,0.534,0.564,0.584,0.608,0.603,0.636,0.649,0.65,0.677,0.66,0.706,0.715,0.716,0.735,0.747,0.738,0.764,0.778,0.819,0.831,0.8,0.843,0.841,0.859,0.872,0.896,0.884,0.901,0.901,0.922,0.903,0.93,0.933,0.93,0.944,0.939,0.952,0.962,0.963,0.961,0.971,0.969,0.966,0.972,0.977,0.982,0.985,0.981,0.983,0.99,0.994,0.989,0.996,0.996,0.995,0.995,0.995,0.999,0.998,0.996,0.999,1,1,1,0.999,1,0.999,0.997,1,1
