"","sig=1","sig=1.1","sig=1.2","sig=1.3","sig=1.4"
"Dim 1",0.08,0.1,0.1,0.1,0.18
"Dim 2",0.01,0.13,0.13,0.25,0.24
"Dim 3",0.05,0.12,0.24,0.5,0.54
"Dim 4",0.05,0.22,0.43,0.62,0.87
"Dim 5",0.06,0.23,0.53,0.82,0.93
"Dim 6",0.06,0.34,0.68,0.93,0.97
"Dim 7",0.08,0.34,0.77,0.95,0.99
"Dim 8",0.02,0.37,0.85,0.99,1
"Dim 9",0.06,0.5,0.92,0.99,1
"Dim 10",0.04,0.5,0.91,1,1
"Dim 11",0.05,0.54,0.91,1,1
"Dim 12",0.05,0.56,0.97,1,1
"Dim 13",0.06,0.61,0.99,1,1
"Dim 14",0.06,0.61,0.97,1,1
"Dim 15",0.03,0.6,0.99,1,1
"Dim 16",0.04,0.61,0.98,1,1
"Dim 17",0.03,0.62,0.99,1,1
"Dim 18",0.05,0.71,0.96,1,1
"Dim 19",0.03,0.85,1,1,1
"Dim 20",0.04,0.82,1,1,1
