"","sig=1","sig=1.01","sig=1.02","sig=1.03","sig=1.04","sig=1.05","sig=1.06","sig=1.07","sig=1.08","sig=1.09","sig=1.1","sig=1.11","sig=1.12","sig=1.13","sig=1.14","sig=1.15","sig=1.16","sig=1.17","sig=1.18","sig=1.19","sig=1.2","sig=1.21","sig=1.22","sig=1.23","sig=1.24","sig=1.25","sig=1.26","sig=1.27","sig=1.28","sig=1.29","sig=1.3","sig=1.31","sig=1.32","sig=1.33","sig=1.34","sig=1.35","sig=1.36","sig=1.37","sig=1.38","sig=1.39","sig=1.4"
"Dim 1",0.05,0.07,0.07,0.07,0.02,0.08,0.09,0.03,0.05,0.06,0.1,0.08,0.07,0.06,0.06,0.11,0.06,0.06,0.07,0.09,0.09,0.1,0.09,0.08,0.11,0.12,0.09,0.1,0.11,0.1,0.17,0.09,0.22,0.12,0.22,0.25,0.18,0.15,0.17,0.16,0.17
"Dim 2",0.1,0.06,0.09,0.04,0.02,0.06,0.07,0.04,0.1,0.06,0.06,0.03,0.11,0.08,0.08,0.06,0.1,0.07,0.1,0.13,0.14,0.13,0.17,0.19,0.13,0.18,0.21,0.18,0.18,0.19,0.14,0.24,0.2,0.27,0.23,0.24,0.23,0.27,0.25,0.33,0.37
"Dim 3",0.02,0.08,0.03,0.04,0.07,0.05,0.05,0.05,0.04,0.04,0.06,0.05,0.09,0.08,0.06,0.11,0.08,0.17,0.09,0.1,0.12,0.13,0.11,0.14,0.16,0.2,0.2,0.26,0.19,0.22,0.29,0.33,0.3,0.27,0.3,0.36,0.34,0.36,0.32,0.39,0.43
"Dim 4",0.04,0.03,0.06,0.01,0.03,0.04,0.04,0.05,0.03,0.03,0.13,0.09,0.07,0.08,0.07,0.1,0.1,0.1,0.09,0.15,0.09,0.2,0.17,0.21,0.23,0.15,0.18,0.36,0.23,0.28,0.28,0.32,0.35,0.33,0.43,0.39,0.41,0.47,0.49,0.39,0.47
"Dim 5",0.05,0.05,0.05,0.03,0.01,0.08,0.03,0.06,0.05,0.07,0.07,0.1,0.03,0.04,0.13,0.08,0.06,0.12,0.15,0.11,0.13,0.13,0.25,0.23,0.24,0.2,0.26,0.24,0.25,0.33,0.28,0.39,0.39,0.41,0.52,0.34,0.49,0.5,0.51,0.48,0.55
"Dim 6",0.04,0.09,0.03,0.06,0.05,0.03,0.05,0.03,0.09,0.08,0.08,0.07,0.04,0.13,0.11,0.08,0.13,0.12,0.21,0.17,0.16,0.16,0.19,0.2,0.19,0.2,0.26,0.25,0.26,0.34,0.37,0.41,0.37,0.45,0.39,0.52,0.51,0.49,0.62,0.55,0.67
"Dim 7",0.07,0.03,0.03,0.03,0.05,0.07,0.09,0.06,0.08,0.1,0.05,0.12,0.13,0.12,0.13,0.13,0.17,0.12,0.16,0.25,0.1,0.19,0.26,0.26,0.17,0.24,0.33,0.3,0.28,0.38,0.35,0.44,0.49,0.38,0.58,0.61,0.58,0.58,0.64,0.6,0.71
"Dim 8",0.06,0.02,0.04,0.08,0.05,0.06,0.05,0.05,0.09,0.06,0.09,0.09,0.06,0.07,0.08,0.13,0.13,0.15,0.19,0.18,0.18,0.22,0.24,0.33,0.31,0.29,0.3,0.32,0.4,0.42,0.44,0.39,0.46,0.46,0.48,0.5,0.53,0.62,0.72,0.61,0.79
"Dim 9",0.04,0.05,0.04,0.04,0.05,0.06,0.08,0.09,0.08,0.1,0.06,0.07,0.06,0.12,0.06,0.12,0.1,0.16,0.18,0.18,0.27,0.16,0.21,0.28,0.35,0.29,0.39,0.27,0.25,0.36,0.45,0.42,0.43,0.56,0.53,0.6,0.62,0.65,0.7,0.67,0.81
"Dim 10",0.02,0.05,0.05,0.07,0.08,0.01,0.06,0.04,0.09,0.06,0.03,0.14,0.11,0.07,0.13,0.08,0.13,0.15,0.14,0.12,0.15,0.21,0.23,0.25,0.31,0.35,0.36,0.32,0.37,0.4,0.56,0.53,0.45,0.49,0.54,0.57,0.63,0.64,0.68,0.64,0.77
"Dim 11",0.06,0.05,0.05,0.02,0.1,0.04,0.05,0.04,0.07,0.11,0.09,0.07,0.07,0.16,0.09,0.15,0.1,0.11,0.19,0.22,0.18,0.21,0.21,0.37,0.36,0.3,0.43,0.4,0.39,0.41,0.51,0.48,0.53,0.52,0.59,0.71,0.61,0.61,0.7,0.69,0.59
"Dim 12",0.01,0.08,0.07,0.06,0.03,0.07,0.03,0.03,0.09,0.08,0.1,0.07,0.06,0.09,0.12,0.11,0.12,0.19,0.19,0.19,0.23,0.22,0.22,0.29,0.24,0.42,0.45,0.35,0.5,0.39,0.42,0.57,0.47,0.53,0.57,0.58,0.6,0.61,0.66,0.79,0.74
"Dim 13",0.01,0.07,0.06,0.03,0.03,0.04,0.04,0.05,0.11,0.07,0.07,0.06,0.14,0.1,0.09,0.19,0.08,0.13,0.18,0.13,0.17,0.28,0.25,0.26,0.29,0.29,0.33,0.38,0.41,0.47,0.55,0.45,0.5,0.61,0.58,0.63,0.68,0.68,0.73,0.72,0.74
