"","sig=1","sig=1.01","sig=1.02","sig=1.03","sig=1.04","sig=1.05","sig=1.06","sig=1.07","sig=1.08","sig=1.09","sig=1.1","sig=1.11","sig=1.12","sig=1.13","sig=1.14","sig=1.15","sig=1.16","sig=1.17","sig=1.18","sig=1.19","sig=1.2","sig=1.21","sig=1.22","sig=1.23","sig=1.24","sig=1.25","sig=1.26","sig=1.27","sig=1.28","sig=1.29","sig=1.3","sig=1.31","sig=1.32","sig=1.33","sig=1.34","sig=1.35","sig=1.36","sig=1.37","sig=1.38","sig=1.39","sig=1.4"
"Dim 1",0.06,0.04,0.05,0.04,0.05,0.07,0.08,0.09,0.08,0.07,0.12,0.06,0.06,0.09,0.06,0.08,0.05,0.1,0.08,0.1,0.1,0.05,0.09,0.11,0.16,0.1,0.13,0.15,0.09,0.12,0.18,0.12,0.18,0.18,0.29,0.21,0.2,0.18,0.23,0.29,0.21
"Dim 2",0.07,0.06,0.08,0.04,0.04,0.08,0.06,0.06,0.07,0.05,0.09,0.07,0.08,0.08,0.07,0.09,0.07,0.14,0.09,0.16,0.13,0.08,0.22,0.26,0.2,0.2,0.21,0.22,0.18,0.24,0.16,0.28,0.23,0.27,0.29,0.33,0.38,0.38,0.45,0.43,0.46
"Dim 3",0.07,0.04,0.04,0.08,0.07,0.05,0.1,0.05,0.08,0.06,0.11,0.1,0.07,0.08,0.09,0.07,0.07,0.11,0.08,0.12,0.18,0.16,0.15,0.2,0.22,0.27,0.29,0.34,0.24,0.29,0.39,0.39,0.37,0.38,0.4,0.46,0.5,0.49,0.46,0.48,0.61
"Dim 4",0.04,0.04,0.04,0.07,0.05,0.04,0.04,0.04,0.09,0.06,0.09,0.09,0.13,0.13,0.09,0.13,0.16,0.17,0.16,0.2,0.15,0.29,0.19,0.31,0.33,0.21,0.21,0.35,0.31,0.32,0.33,0.45,0.46,0.49,0.53,0.48,0.58,0.6,0.54,0.6,0.59
"Dim 5",0.02,0.07,0.02,0.08,0.02,0.01,0.03,0.06,0.05,0.04,0.06,0.08,0.11,0.09,0.13,0.13,0.14,0.13,0.15,0.16,0.22,0.17,0.27,0.29,0.29,0.28,0.35,0.3,0.32,0.37,0.41,0.51,0.49,0.47,0.59,0.55,0.69,0.65,0.68,0.67,0.65
"Dim 6",0.07,0.04,0.03,0.04,0.02,0.06,0.04,0.03,0.09,0.1,0.08,0.17,0.1,0.13,0.1,0.09,0.13,0.16,0.15,0.18,0.22,0.24,0.25,0.34,0.33,0.3,0.32,0.36,0.39,0.5,0.48,0.62,0.57,0.61,0.52,0.69,0.68,0.69,0.73,0.74,0.84
"Dim 7",0.05,0.04,0.02,0.04,0.01,0.07,0.09,0.11,0.07,0.1,0.13,0.12,0.17,0.09,0.15,0.19,0.15,0.18,0.19,0.28,0.15,0.27,0.36,0.3,0.36,0.31,0.4,0.46,0.44,0.55,0.55,0.54,0.64,0.5,0.68,0.74,0.72,0.75,0.78,0.77,0.89
"Dim 8",0.04,0.04,0.06,0.06,0.07,0.02,0.07,0.04,0.06,0.08,0.14,0.07,0.09,0.11,0.16,0.21,0.16,0.2,0.2,0.24,0.29,0.33,0.31,0.36,0.36,0.36,0.4,0.43,0.53,0.55,0.61,0.65,0.59,0.63,0.67,0.64,0.72,0.77,0.85,0.78,0.88
"Dim 9",0.09,0.02,0.05,0.05,0.07,0.08,0.11,0.09,0.05,0.07,0.11,0.11,0.19,0.14,0.07,0.16,0.15,0.23,0.21,0.28,0.26,0.21,0.25,0.43,0.44,0.41,0.46,0.39,0.46,0.46,0.54,0.58,0.62,0.69,0.74,0.77,0.82,0.8,0.83,0.8,0.9
"Dim 10",0.03,0.04,0.07,0.06,0.1,0.07,0.06,0.02,0.12,0.05,0.07,0.12,0.11,0.1,0.13,0.15,0.25,0.2,0.19,0.26,0.25,0.26,0.31,0.43,0.42,0.45,0.51,0.43,0.48,0.59,0.64,0.69,0.65,0.69,0.71,0.76,0.78,0.83,0.86,0.86,0.93
